Бренд;Коллекция;Категория;categoryId;Тип соединения;Фаска;Порода дерева;Селекция;Тон;Конструкция;Разновидность
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Французская
Royal Parket;Click 130;Паркетная доска;275;замковое соединение;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;1 Коммон;;;Английская
Alpine Floor;Real Wood;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Коричневый;Двухслойная (дуб+фанера);Английская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;Темный;;
Coswick;;Модульный паркет;266;шип-паз;подетально;;Селект энд Бэттер;;;Модульный паркет
Karelia;BLOOM;Паркетная доска;20001;замковое соединение;;Дуб;Mix Natur;;Трехслойная (дуб+хвоя+береза);
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Pergo;Malmo pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Серый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Royal Parket;Click 130;Паркетная доска;275;замковое соединение;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Английская
Coswick;;Паркетная доска;20005;шип-паз;четырехсторонняя;;1 Натур;;;
Alpine Floor;Classic;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;Темный;;
Coswick;Дизайнерские решения;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Karelia;Earth;Паркетная доска;20001;замковое соединение;четырехсторонняя микро-фаска;Орех;Натур;Натуральный;Трехслойная (орех+хвоя+береза);
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);
Pergo;Malmo pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Серый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Темный;Трехслойная (дуб+дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Французская
Royal Parket;Click 130;Паркетная доска;275;замковое соединение;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;1 Коммон;Светлый;;Английская
Alpine Floor;Classic;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Трехслойная (дуб+дуб+дуб);
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;Темный;;
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Karelia;Earth;Паркетная доска;20001;замковое соединение;четырехсторонняя микро-фаска;Орех;Натур;Натуральный;Трехслойная (орех+хвоя+береза);
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);
Pergo;Goeteborg pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Бежевый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Бежевый;Трехслойная (дуб+дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;1 Коммон;;;Английская
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Alpine Floor;Classic;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;;;
Техномассив;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+дуб);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;Темный;;
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Karelia;Earth;Паркетная доска;20001;замковое соединение;четырехсторонняя микро-фаска;Орех;Натур;Натуральный;Трехслойная (орех+хвоя+береза);
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);
Pergo;Goeteborg pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Натуральный;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Трехслойная (дуб+дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Французская
Coswick;Таинственный лес;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Таверн;;;
Alpine Floor;Classic;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Белые ночи;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;;;
Техномассив;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+дуб);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;;Селект;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;Натуральный;;
Coswick;Таинственный лес;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Karelia;Earth;Паркетная доска;20001;замковое соединение;четырехсторонняя микро-фаска;Орех;Кантри;Натуральный;Трехслойная (орех+хвоя+береза);
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Рустик;Светлый;Двухслойная (дуб+фанера);
Pergo;Goeteborg pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Натуральный;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Кантри;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Темный;Трехслойная (дуб+дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Французская
Karelia;Libra;Паркетная доска;20001;замковое соединение;без фаски;Дуб;Селект;Натуральный;Трехслойная (дуб+хвоя+береза);
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+дуб);
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Таверн;;;
Alpine Floor;Classic;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Дизайнерские решения;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;;Натур;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;Натуральный;;
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Karelia;Earth;Паркетная доска;20001;замковое соединение;четырехсторонняя микро-фаска;Орех;Кантри;Натуральный;Трехслойная (орех+хвоя+береза);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Goeteborg pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Серый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Кантри;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Темный;Трехслойная (дуб+дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Серый;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Светлый;Двухслойная (дуб+фанера);Английская
Alpine Floor;Classic;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Таинственный лес;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;;;
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;;Рустик;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;Натуральный;;
Coswick;Таинственный лес;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Karelia;Earth;Паркетная доска;20001;замковое соединение;четырехсторонняя микро-фаска;Орех;Кантри;Натуральный;Трехслойная (орех+хвоя+береза);
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Goeteborg pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Белый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Светлый;Двухслойная (дуб+фанера);Английская
Alpine Floor;Classic;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;;;
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;Темный;;
Coswick;Оттенки серого;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Karelia;BLOOM;Паркетная доска;20001;замковое соединение;;Дуб;Mix Natur;;Трехслойная (дуб+хвоя+береза);
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Goeteborg pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Бежевый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;;Рустик;Бежевый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Французская
Alpine Floor;Real Wood;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Таинственный лес;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Белые ночи;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;Светлый;;Модульный паркет
Karelia;BLOOM;Паркетная доска;20001;замковое соединение;;Дуб;Кантри;Коричневый;Трехслойная (дуб+хвоя+береза);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Goeteborg pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Бежевый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Французская
Alpine Floor;Grand Sequoia Village;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Таинственный лес;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;Светлый;;
Coswick;Белые ночи;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;Светлый;;Модульный паркет
Karelia;BLOOM;Паркетная доска;20001;замковое соединение;;Дуб;Натур;;Трехслойная (дуб+хвоя+береза);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Pergo;Goeteborg pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Натуральный;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Французская
Alpine Floor;Real Wood;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Белые ночи;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;;Дуб;1 Натур;Светлый;;
Coswick;Белые ночи;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;Светлый;;Модульный паркет
Karelia;;Паркетная доска;20001;шип-паз;четырехсторонняя;Орех;Натур;Натуральный;Двухслойная (орех+фанера);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);
Pergo;Goeteborg pro;Ламинат;270;замковое соединение;четырехсторонняя;Дуб;;Серый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Трехслойная (дуб+дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;;Рустик;Коричневый;Двухслойная (дуб+фанера);Французская
Alpine Floor;Classic;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Alpine Floor;Easy Line;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Coswick;Таинственный лес;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Французская
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;Светлый;;
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Karelia;Chevron;Паркетная доска;20001;шип-паз;четырехсторонняя;Орех;Натур;Натуральный;Трехслойная (орех+хвоя+береза);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
